ID,USER_ID,ORDER_DATE,STATUS,DBT_SCD_ID,_ETL_LOADED_AT,DBT_UPDATED_AT,DBT_VALID_FROM,DBT_VALID_TO
1,1,2018-01-01,returned,7bf5cebc64c2501d3e5f00731dd844ba,2026-08-02 01:25:11.485,2026-08-20 13:38:26.723,2026-08-20 13:38:26.723,9999-12-31 00:00:00.000
2,3,2018-01-02,completed,8b0c6135477fccd07d4b38990ce0137c,2026-08-02 01:25:11.485,2026-08-20 13:38:26.723,2026-08-20 13:38:26.723,9999-12-31 00:00:00.000
3,94,2018-01-04,completed,a212665ed14d0c407563bc6979b6f59f,2026-08-02 01:25:11.485,2026-08-20 13:38:26.723,2026-08-20 13:38:26.723,9999-12-31 00:00:00.000
4,50,2018-01-05,completed,9b708d69c791573297129d024e49959d,2026-08-02 01:25:11.485,2026-08-20 13:38:26.723,2026-08-20 13:38:26.723,9999-12-31 00:00:00.000
5,64,2018-01-05,completed,66437ba31122e0f1383b2dc5e7c4466e,2026-08-02 01:25:11.485,2026-08-20 13:38:26.723,2026-08-20 13:38:26.723,9999-12-31 00:00:00.000
6,54,2018-01-07,completed,0fb58bd973c1320b6321b3ec45b6c3eb,2026-08-02 01:25:11.485,2026-08-20 13:38:26.723,2026-08-20 13:38:26.723,9999-12-31 00:00:00.000
7,88,2018-01-09,completed,c51d3269ed8070a56282077e7d728455,2026-08-02 01:25:11.485,2026-08-20 13:38:26.723,2026-08-20 13:38:26.723,9999-12-31 00:00:00.000
8,2,2018-01-11,returned,62d6976708e88bb80c8d925ef267d8a5,2026-08-02 01:25:11.485,2026-08-20 13:38:26.723,2026-08-20 13:38:26.723,9999-12-31 00:00:00.000
9,53,2018-01-12,completed,cebeae1fcbf02c63e51079e51dde2da4,2026-08-02 01:25:11.485,2026-08-20 13:38:26.723,2026-08-20 13:38:26.723,9999-12-31 00:00:00.000
10,7,2018-01-14,completed,e8af751f0d0d201c3a95ff2719c16cf5,2026-08-02 01:25:11.485,2026-08-20 13:38:26.723,2026-08-20 13:38:26.723,9999-12-31 00:00:00.000
11,99,2018-01-14,completed,263aed3a5157eaaf56ead969f0570576,2026-08-02 01:25:11.485,2026-08-20 13:38:26.723,2026-08-20 13:38:26.723,9999-12-31 00:00:00.000
12,59,2018-01-15,completed,c4a191e6d10918c1c93d452f47199445,2026-08-02 01:25:11.485,2026-08-20 13:38:26.723,2026-08-20 13:38:26.723,9999-12-31 00:00:00.000
13,84,2018-01-17,completed,419dd6431d7a69a9fbe65bc4bd8f0caa,2026-08-02 01:25:11.485,2026-08-20 13:38:26.723,2026-08-20 13:38:26.723,9999-12-31 00:00:00.000
14,40,2018-01-17,returned,8074dd2e568b702dc75f5cae7236ad01,2026-08-02 01:25:11.485,2026-08-20 13:38:26.723,2026-08-20 13:38:26.723,9999-12-31 00:00:00.000
15,25,2018-01-17,completed,485b86df29d137ab8bc80c5f0f4ed908,2026-08-02 01:25:11.485,2026-08-20 13:38:26.723,2026-08-20 13:38:26.723,9999-12-31 00:00:00.000
16,39,2018-01-18,completed,f006f635187c447af8720fc3e66a4b12,2026-08-02 01:25:11.485,2026-08-20 13:38:26.723,2026-08-20 13:38:26.723,9999-12-31 00:00:00.000
