ID,USER_ID,ORDER_DATE,STATUS,_ETL_LOADED_AT
1,1,2018-01-01,returned,2026-08-02T01:25:11.485
2,3,2018-01-02,completed,2026-08-02T01:25:11.485
3,94,2018-01-04,completed,2026-08-02T01:25:11.485
4,50,2018-01-05,completed,2026-08-02T01:25:11.485
5,64,2018-01-05,completed,2026-08-02T01:25:11.485
6,54,2018-01-07,completed,2026-08-02T01:25:11.485
7,88,2018-01-09,completed,2026-08-02T01:25:11.485
8,2,2018-01-11,returned,2026-08-02T01:25:11.485
9,53,2018-01-12,completed,2026-08-02T01:25:11.485
10,7,2018-01-14,completed,2026-08-02T01:25:11.485
11,99,2018-01-14,completed,2026-08-02T01:25:11.485
12,59,2018-01-15,completed,2026-08-02T01:25:11.485
13,84,2018-01-17,completed,2026-08-02T01:25:11.485
14,40,2018-01-17,returned,2026-08-02T01:25:11.485
15,25,2018-01-17,completed,2026-08-02T01:25:11.485
16,39,2018-01-18,completed,2026-08-02T01:25:11.485
17,71,2018-01-18,completed,2026-08-02T01:25:11.485
18,64,2018-01-20,returned,2026-08-02T01:25:11.485
19,54,2018-01-22,completed,2026-08-02T01:25:11.485
20,20,2018-01-23,completed,2026-08-02T01:25:11.485
21,71,2018-01-23,completed,2026-08-02T01:25:11.485
22,86,2018-01-24,completed,2026-08-02T01:25:11.485
23,22,2018-01-26,return_pending,2026-08-02T01:25:11.485
24,3,2018-01-27,completed,2026-08-02T01:25:11.485
25,51,2018-01-28,completed,2026-08-02T01:25:11.485
26,32,2018-01-28,completed,2026-08-02T01:25:11.485
27,94,2018-01-29,completed,2026-08-02T01:25:11.485
28,8,2018-01-29,completed,2026-08-02T01:25:11.485
29,57,2018-01-31,completed,2026-08-02T01:25:11.485
30,69,2018-02-02,completed,2026-08-02T01:25:11.485
31,16,2018-02-02,completed,2026-08-02T01:25:11.485
32,28,2018-02-04,completed,2026-08-02T01:25:11.485
33,42,2018-02-04,completed,2026-08-02T01:25:11.485
34,38,2018-02-06,completed,2026-08-02T01:25:11.485
35,80,2018-02-08,completed,2026-08-02T01:25:11.485
36,85,2018-02-10,completed,2026-08-02T01:25:11.485
37,1,2018-02-10,completed,2026-08-02T01:25:11.485
38,51,2018-02-10,completed,2026-08-02T01:25:11.485
39,26,2018-02-11,completed,2026-08-02T01:25:11.485
40,33,2018-02-13,completed,2026-08-02T01:25:11.485
41,99,2018-02-14,completed,2026-08-02T01:25:11.485
42,92,2018-02-16,completed,2026-08-02T01:25:11.485
43,31,2018-02-17,completed,2026-08-02T01:25:11.485
44,66,2018-02-17,completed,2026-08-02T01:25:11.485
45,22,2018-02-17,completed,2026-08-02T01:25:11.485
46,6,2018-02-19,completed,2026-08-02T01:25:11.485
47,50,2018-02-20,completed,2026-08-02T01:25:11.485
48,27,2018-02-21,completed,2026-08-02T01:25:11.485
49,35,2018-02-21,completed,2026-08-02T01:25:11.485
50,51,2018-02-23,completed,2026-08-02T01:25:11.485
51,71,2018-02-24,completed,2026-08-02T01:25:11.485
