ID,CUSTOMER,ORDERED_AT,STORE_ID,SUBTOTAL,TAX_PAID,ORDER_TOTAL
008cc165-663f-40fb-94d9-2029e8542983,8b7f9b7f-90b6-4887-88f8-0e198a9b007d,2016-09-07T08:30:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,500,30,530
00923884-9543-4c1e-8ed4-eb466e40e487,e3afd136-901c-4557-ad38-9721b1da3d6d,2016-09-01T07:40:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,400,24,424
00b9bf96-d3f9-4ef5-b715-c4b83e746813,37b15675-a715-4545-b885-11f0c340b579,2016-09-19T10:24:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,1300,78,1378
00d03ec5-fc71-4616-99ad-8ad79dcb9bd7,57e67f54-8b7b-46a4-9f46-4e8eec5c850f,2016-09-22T13:19:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,4700,282,4982
00da278f-4ef7-4882-baf2-b3da5132fd64,aadf86e7-5ffa-459c-b0c6-39c2f2dcc137,2016-09-20T10:24:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,1000,60,1060
00e34924-fe77-4ec1-92d1-c58943ca8410,89e063d4-d84b-436d-a7ae-826f80d9d013,2016-09-21T09:44:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,600,36,636
0198bafb-ff11-4f02-9aa8-8c3b8b58a5c1,b028022d-60ff-416a-9106-f3e73dac72d2,2016-09-21T08:27:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,500,30,530
020bc1af-66ed-46b0-a6f4-4fbd9f7e9ef4,fd560bc8-60b7-4dbf-93e1-6eba6934f599,2016-09-14T08:08:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,500,30,530
0292ac9e-7879-42a4-93df-099461a864e3,dd7021b7-00fa-43cb-a061-6f601d08380d,2016-09-07T07:58:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,700,42,742
02ce15f5-13ec-4e49-803c-d216f85dfb6e,a40cca2b-cb31-42ad-8158-39b67128d0e4,2016-09-21T07:17:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,700,42,742
02fd27ea-f244-4b01-a4a0-6d0dd29b88d0,c0822f00-24dd-4196-95f9-6192ea457af3,2016-09-13T16:15:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,2100,126,2226
031bc061-37ae-4dbc-923e-76f539e814a4,d1747387-f31d-48d2-822b-699d6eb93a2b,2016-09-21T08:51:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,500,30,530
038a298f-d374-40cb-977e-53671d6e0745,b9b25607-9aa6-407b-a217-ca3a6ac85ee0,2016-09-02T07:18:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,700,42,742
03980f02-0276-4af7-90d7-e973f00c023d,ec5336c1-c2be-4b19-bf92-e56b5cf4058c,2016-09-16T13:34:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,3800,227,4028
03a829f4-5130-4880-bdad-e4238be0cd3b,ed0eaab6-7120-4997-a4cd-a2e3f2175075,2016-09-16T10:18:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,700,42,742
03bff3a4-0dc8-4f93-b8e3-61dba7ddd7cd,545b7872-c4e0-4687-8b2f-1d13c03ca2ab,2016-09-16T07:44:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,600,36,636
03c2c1fb-9407-44a9-a93f-ee75855735a1,b9b25607-9aa6-407b-a217-ca3a6ac85ee0,2016-09-06T07:33:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,600,36,636
042a7f24-c79e-41eb-89bf-bb37ce90603a,db0d9043-952a-495e-8608-815fdef24bb9,2016-09-01T07:49:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,400,24,424
0440c0eb-f6f6-48bf-bc35-d221cb6f59e6,dcfbe751-f532-4901-9574-56e490212f8d,2016-09-15T12:40:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,1500,89,1590
055546dc-e8ac-44ce-8820-4d4a1956c090,eb8a5b36-47a8-47ca-9c1b-6417cf79f4b2,2016-09-14T07:59:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,700,42,742
05d43431-e859-4864-be00-8562254ade84,14cf5ae6-46f6-4727-8b31-099c771e67e7,2016-09-09T09:00:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,600,36,636
06a7ee50-ee65-472c-85e7-21cf113250e8,3dd5e6a2-b23b-4ee5-b866-34d2e0a1cd88,2016-09-21T08:08:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,400,24,424
06c06573-060b-4c50-9a29-58afc5017b6b,478cbaf5-21f9-444a-b6ee-145c902181b7,2016-09-05T08:38:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,400,24,424
06c28099-8f5e-4c3c-bacc-5c78ab8df9d3,053a890c-690a-4e3c-8e32-e5fc28b63d61,2016-09-18T09:03:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,1900,113,2014
06f2a6da-8f58-4210-b1fb-782eb1044940,906c6b58-de58-429c-a0d3-93e8d1f52ed7,2016-09-21T08:18:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,600,36,636
0761a76d-46f6-4089-a1f0-b07ddb010ee5,8b7f9b7f-90b6-4887-88f8-0e198a9b007d,2016-09-13T08:08:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,700,42,742
07621124-bb16-4542-b0ff-9a58f313600e,50895683-b612-4b60-a177-792f7acd1284,2016-09-09T17:28:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,500,30,530
076defc6-8848-4910-b44c-e7630c0443dc,026f0a0c-400a-4482-a51f-c8bd57fb07df,2016-09-01T14:13:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,400,24,424
077531f2-efe5-489b-94ca-9b69a122327e,e9e2d5e2-3f7f-41e7-87c9-4d91d2369faf,2016-09-09T12:39:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,5000,300,5300
079b4f91-af2a-4258-8694-384fc0437f8b,e3afd136-901c-4557-ad38-9721b1da3d6d,2016-09-15T08:06:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,700,42,742
07a7706a-44a3-4085-99e1-a5e90cde45f5,76d5dbd2-cdf5-44f9-8cd3-7f23192b5af8,2016-09-12T11:58:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,400,24,424
07abb654-3a76-45bb-b4c5-04ea755aae74,a40cca2b-cb31-42ad-8158-39b67128d0e4,2016-09-08T08:11:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,600,36,636
07aee7a5-1bf3-492c-9f59-1562042fa564,545b7872-c4e0-4687-8b2f-1d13c03ca2ab,2016-09-05T08:32:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,600,36,636
07b97d20-4d38-433c-9e57-ff415a816971,a40cca2b-cb31-42ad-8158-39b67128d0e4,2016-09-07T08:35:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,600,36,636
092b4453-0df9-4054-94aa-3c08d0deda7f,13b40b8c-ccde-403f-bd97-e6059d0b457c,2016-09-01T09:43:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,2400,144,2544
09361ded-8087-4b3e-9ac6-0aac66499c03,3cb4b879-5cc0-40ec-86f7-8bf407b328c8,2016-09-05T14:48:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,400,24,424
097e1ea9-7bc8-4b20-a90c-32b8b002fd48,c0822f00-24dd-4196-95f9-6192ea457af3,2016-09-15T15:19:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,1700,102,1802
0a99b396-7753-4a41-839d-07c2c3e4a7db,197ce683-0876-41d9-b9b1-c95541abcff9,2016-09-22T07:36:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,600,36,636
0ad58902-d8dc-4f74-a9aa-5bc44db82db0,dbafe507-fda2-48b3-ac00-a14c080210a2,2016-09-09T07:23:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,600,36,636
0b22f154-d355-42f9-89c3-86d501c5ec98,7cd5e7f3-39c8-48ce-950a-1b70449e7829,2016-09-09T09:10:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,500,30,530
0b7142e9-e04b-4508-ba58-75001ff98ea3,1b3b33c7-3982-45e0-a2fa-9e33ee3b8948,2016-09-10T09:12:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,8800,527,9328
0c40e986-e343-4ee5-83dd-d268fa95fe4b,c074e00d-755a-4ee3-9efb-9d6786b9517e,2016-09-02T08:15:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,500,30,530
0d08514b-1de8-4291-9ee3-fbb972c7c7c0,d7093e25-a54d-4730-8fcf-0258e220b078,2016-09-21T12:46:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,600,36,636
0d8bd083-584e-4c75-b795-23ef339f8d64,38400695-1293-45bf-9d31-08ec84d7ea9e,2016-09-21T15:08:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,700,42,742
0daf12d2-6e5f-4ee4-9064-7d93f75e021d,0551e79c-9e23-4566-8ae7-f3f82d3108f1,2016-09-13T11:34:00,7f790ed7-0fc4-4de2-a1b0-cce72e657fc4,1200,72,1272
