ID,USER_ID,ORDER_DATE,STATUS,_ETL_LOADED_AT,DBT_SCD_ID,DBT_UPDATED_AT,DBT_VALID_FROM,DBT_VALID_TO
1,1,2018-01-01,returned,2026-08-02 01:25:11.485000,3d32fdd4e33f1007122b06859b1deae5,2026-08-21 12:00:12.958000,2026-08-21 12:00:12.958000,9999-12-31 00:00:00.000000
2,3,2018-01-02,completed,2026-08-02 01:25:11.485000,eb977aed1400daa3f9180a1df20ef26f,2026-08-21 12:00:12.958000,2026-08-21 12:00:12.958000,9999-12-31 00:00:00.000000
3,94,2018-01-04,completed,2026-08-02 01:25:11.485000,3d1a3af5ab283bb90b7a9b8315b746bf,2026-08-21 12:00:12.958000,2026-08-21 12:00:12.958000,9999-12-31 00:00:00.000000
4,50,2018-01-05,completed,2026-08-02 01:25:11.485000,c7b5875c8edfe790fcb0d8d1d4e778f7,2026-08-21 12:00:12.958000,2026-08-21 12:00:12.958000,9999-12-31 00:00:00.000000
5,64,2018-01-05,completed,2026-08-02 01:25:11.485000,e8fc824b0785fda3babbc45811e62270,2026-08-21 12:00:12.958000,2026-08-21 12:00:12.958000,9999-12-31 00:00:00.000000
6,54,2018-01-07,completed,2026-08-02 01:25:11.485000,880a38cdc2eff9f0bf950d4154578eb0,2026-08-21 12:00:12.958000,2026-08-21 12:00:12.958000,9999-12-31 00:00:00.000000
7,88,2018-01-09,completed,2026-08-02 01:25:11.485000,ea8ee7b26a2235e29809c65bd2e86023,2026-08-21 12:00:12.958000,2026-08-21 12:00:12.958000,9999-12-31 00:00:00.000000
8,2,2018-01-11,returned,2026-08-02 01:25:11.485000,4b21b064e651eb049e90d8cdd3255740,2026-08-21 12:00:12.958000,2026-08-21 12:00:12.958000,9999-12-31 00:00:00.000000
9,53,2018-01-12,completed,2026-08-02 01:25:11.485000,82abfef2ca0065257815a0f74bf942a7,2026-08-21 12:00:12.958000,2026-08-21 12:00:12.958000,9999-12-31 00:00:00.000000
10,7,2018-01-14,completed,2026-08-02 01:25:11.485000,fbe998a9aea23186aa07973e44590ef7,2026-08-21 12:00:12.958000,2026-08-21 12:00:12.958000,9999-12-31 00:00:00.000000
11,99,2018-01-14,completed,2026-08-02 01:25:11.485000,242cf6cf32bf0456b0d57ec7ad9a2fca,2026-08-21 12:00:12.958000,2026-08-21 12:00:12.958000,9999-12-31 00:00:00.000000
12,59,2018-01-15,completed,2026-08-02 01:25:11.485000,2bccf99456aca7bc4d2a1a8b419d0151,2026-08-21 12:00:12.958000,2026-08-21 12:00:12.958000,9999-12-31 00:00:00.000000
13,84,2018-01-17,completed,2026-08-02 01:25:11.485000,f7c0364a3e22f79758c331b66bb75ccc,2026-08-21 12:00:12.958000,2026-08-21 12:00:12.958000,9999-12-31 00:00:00.000000
14,40,2018-01-17,returned,2026-08-02 01:25:11.485000,d5a4624a7bffaaf47aa25d52bd8a7bb0,2026-08-21 12:00:12.958000,2026-08-21 12:00:12.958000,9999-12-31 00:00:00.000000
15,25,2018-01-17,completed,2026-08-02 01:25:11.485000,87d3b6461dbba923cf7369e1d519b6b8,2026-08-21 12:00:12.958000,2026-08-21 12:00:12.958000,9999-12-31 00:00:00.000000
16,39,2018-01-18,completed,2026-08-02 01:25:11.485000,12e27df1ea3e4e092083a7b02f915024,2026-08-21 12:00:12.958000,2026-08-21 12:00:12.958000,9999-12-31 00:00:00.000000
17,71,2018-01-18,completed,2026-08-02 01:25:11.485000,fef00a0f2e0829f6f2b7dbb596b15372,2026-08-21 12:00:12.958000,2026-08-21 12:00:12.958000,9999-12-31 00:00:00.000000
18,64,2018-01-20,returned,2026-08-02 01:25:11.485000,bc1472084c785476b1609f6e8f91fa86,2026-08-21 12:00:12.958000,2026-08-21 12:00:12.958000,9999-12-31 00:00:00.000000
19,54,2018-01-22,completed,2026-08-02 01:25:11.485000,6f224d1c1be316b25b4e14cc6d1527fd,2026-08-21 12:00:12.958000,2026-08-21 12:00:12.958000,9999-12-31 00:00:00.000000
20,20,2018-01-23,completed,2026-08-02 01:25:11.485000,896c31001c5f3f3b9fcea4144956a6ec,2026-08-21 12:00:12.958000,2026-08-21 12:00:12.958000,9999-12-31 00:00:00.000000
21,71,2018-01-23,completed,2026-08-02 01:25:11.485000,c46385013df237ff8b4ce97f44267bb1,2026-08-21 12:00:12.958000,2026-08-21 12:00:12.958000,9999-12-31 00:00:00.000000
22,86,2018-01-24,completed,2026-08-02 01:25:11.485000,7b4a57de23163ae6d215b48c98179007,2026-08-21 12:00:12.958000,2026-08-21 12:00:12.958000,9999-12-31 00:00:00.000000
23,22,2018-01-26,return_pending,2026-08-02 01:25:11.485000,c3f903cdd4587960e2ffd76a17af8282,2026-08-21 12:00:12.958000,2026-08-21 12:00:12.958000,9999-12-31 00:00:00.000000
24,3,2018-01-27,completed,2026-08-02 01:25:11.485000,7b1f7b01c7a197ebca4719831c1f0a39,2026-08-21 12:00:12.958000,2026-08-21 12:00:12.958000,9999-12-31 00:00:00.000000
25,51,2018-01-28,completed,2026-08-02 01:25:11.485000,dccc02a4fa2b123b389acee33107309e,2026-08-21 12:00:12.958000,2026-08-21 12:00:12.958000,9999-12-31 00:00:00.000000
26,32,2018-01-28,completed,2026-08-02 01:25:11.485000,033e4cdeee7ab2eb56c7fe431f9bd163,2026-08-21 12:00:12.958000,2026-08-21 12:00:12.958000,9999-12-31 00:00:00.000000
27,94,2018-01-29,completed,2026-08-02 01:25:11.485000,a1d4ef636bc37caa531c9e252fa34a35,2026-08-21 12:00:12.958000,2026-08-21 12:00:12.958000,9999-12-31 00:00:00.000000
28,8,2018-01-29,completed,2026-08-02 01:25:11.485000,e16355ef2b0164efe9f53a504061da97,2026-08-21 12:00:12.958000,2026-08-21 12:00:12.958000,9999-12-31 00:00:00.000000
29,57,2018-01-31,completed,2026-08-02 01:25:11.485000,1b5c48d2281df081e1443c647500b47b,2026-08-21 12:00:12.958000,2026-08-21 12:00:12.958000,9999-12-31 00:00:00.000000
30,69,2018-02-02,completed,2026-08-02 01:25:11.485000,4fa2a51a344a4ae934a31dea47a200a8,2026-08-21 12:00:12.958000,2026-08-21 12:00:12.958000,9999-12-31 00:00:00.000000
31,16,2018-02-02,completed,2026-08-02 01:25:11.485000,42f1de94a0bfd33b3a895aa10c018040,2026-08-21 12:00:12.958000,2026-08-21 12:00:12.958000,9999-12-31 00:00:00.000000
32,28,2018-02-04,completed,2026-08-02 01:25:11.485000,b7815c85df0434be46a8659de4e0a874,2026-08-21 12:00:12.958000,2026-08-21 12:00:12.958000,9999-12-31 00:00:00.000000
33,42,2018-02-04,completed,2026-08-02 01:25:11.485000,c5579496484e310d627b6f13c9a2e5f1,2026-08-21 12:00:12.958000,2026-08-21 12:00:12.958000,9999-12-31 00:00:00.000000
34,38,2018-02-06,completed,2026-08-02 01:25:11.485000,16cdce9450317de38d50ae110951caeb,2026-08-21 12:00:12.958000,2026-08-21 12:00:12.958000,9999-12-31 00:00:00.000000
35,80,2018-02-08,completed,2026-08-02 01:25:11.485000,7dc87ac19cc2c50f4dd89a771d8de8a4,2026-08-21 12:00:12.958000,2026-08-21 12:00:12.958000,9999-12-31 00:00:00.000000
36,85,2018-02-10,completed,2026-08-02 01:25:11.485000,086f9821b72eac91d882741907d72450,2026-08-21 12:00:12.958000,2026-08-21 12:00:12.958000,9999-12-31 00:00:00.000000
37,1,2018-02-10,completed,2026-08-02 01:25:11.485000,7849c8fb1b71fddbb4009af4b2fe9f94,2026-08-21 12:00:12.958000,2026-08-21 12:00:12.958000,9999-12-31 00:00:00.000000
38,51,2018-02-10,completed,2026-08-02 01:25:11.485000,37d624e4cf1907b204ef915d55dfad73,2026-08-21 12:00:12.958000,2026-08-21 12:00:12.958000,9999-12-31 00:00:00.000000
39,26,2018-02-11,completed,2026-08-02 01:25:11.485000,9ac68aeb36af6785d635e608add7a35d,2026-08-21 12:00:12.958000,2026-08-21 12:00:12.958000,9999-12-31 00:00:00.000000
40,33,2018-02-13,completed,2026-08-02 01:25:11.485000,27835c6d64656efa821375f2c8a1c25f,2026-08-21 12:00:12.958000,2026-08-21 12:00:12.958000,9999-12-31 00:00:00.000000
41,99,2018-02-14,completed,2026-08-02 01:25:11.485000,e48473f14859c5c071bd1fb8724dcc97,2026-08-21 12:00:12.958000,2026-08-21 12:00:12.958000,9999-12-31 00:00:00.000000
42,92,2018-02-16,completed,2026-08-02 01:25:11.485000,6255ad3d2723df1240b14f9e04f5d59b,2026-08-21 12:00:12.958000,2026-08-21 12:00:12.958000,9999-12-31 00:00:00.000000
43,31,2018-02-17,completed,2026-08-02 01:25:11.485000,1238e34818a41fdc8a3e84711d1ca3b4,2026-08-21 12:00:12.958000,2026-08-21 12:00:12.958000,9999-12-31 00:00:00.000000
44,66,2018-02-17,completed,2026-08-02 01:25:11.485000,60a055e9fb82f9a3130a4e8b271b0e99,2026-08-21 12:00:12.958000,2026-08-21 12:00:12.958000,9999-12-31 00:00:00.000000
45,22,2018-02-17,completed,2026-08-02 01:25:11.485000,4a2617c432777c4f29f94466975bf67d,2026-08-21 12:00:12.958000,2026-08-21 12:00:12.958000,9999-12-31 00:00:00.000000
46,6,2018-02-19,completed,2026-08-02 01:25:11.485000,6dcaa116e833e0fc95ef499d834aa0ea,2026-08-21 12:00:12.958000,2026-08-21 12:00:12.958000,9999-12-31 00:00:00.000000
47,50,2018-02-20,completed,2026-08-02 01:25:11.485000,cb17a51a73cdcfda2827c57853209300,2026-08-21 12:00:12.958000,2026-08-21 12:00:12.958000,9999-12-31 00:00:00.000000
48,27,2018-02-21,completed,2026-08-02 01:25:11.485000,8fd058811917eec62f01da2ad9d84022,2026-08-21 12:00:12.958000,2026-08-21 12:00:12.958000,9999-12-31 00:00:00.000000
49,35,2018-02-21,completed,2026-08-02 01:25:11.485000,c768c4cf36e76565b95d033cb3619e53,2026-08-21 12:00:12.958000,2026-08-21 12:00:12.958000,9999-12-31 00:00:00.000000
50,51,2018-02-23,completed,2026-08-02 01:25:11.485000,191bd1fc321a8d619182d827692e3ddb,2026-08-21 12:00:12.958000,2026-08-21 12:00:12.958000,9999-12-31 00:00:00.000000
51,71,2018-02-24,completed,2026-08-02 01:25:11.485000,cd9384055a73dfeb7d21106885d1afe1,2026-08-21 12:00:12.958000,2026-08-21 12:00:12.958000,9999-12-31 00:00:00.000000
52,54,2018-02-25,return_pending,2026-08-02 01:25:11.485000,c416d3252c900ac1f57dcb6be31f37f8,2026-08-21 12:00:12.958000,2026-08-21 12:00:12.958000,9999-12-31 00:00:00.000000
53,34,2018-02-26,completed,2026-08-02 01:25:11.485000,3300424a0f1298b928dada3d0b6ca117,2026-08-21 12:00:12.958000,2026-08-21 12:00:12.958000,9999-12-31 00:00:00.000000
54,54,2018-02-26,completed,2026-08-02 01:25:11.485000,8eea0eb0c22020f9be0bfc70e2a1d846,2026-08-21 12:00:12.958000,2026-08-21 12:00:12.958000,9999-12-31 00:00:00.000000
55,18,2018-02-27,completed,2026-08-02 01:25:11.485000,6a28c44bf091442f077089f59eee7c17,2026-08-21 12:00:12.958000,2026-08-21 12:00:12.958000,9999-12-31 00:00:00.000000
